"Title","City","State","Group","Ideology","Headquarters","Statewide","Year"
"11th Hour Remnant Messenger","Santa Fe","New Mexico","","Christian Identity ","","","2012"
"88 Boot Boys","Phoenix","Arizona","","Racist Skinhead ","","","2012"
"9/11 Christian Center at Ground Zero","New York","New York","","Anti-Muslim","","","2012"
"a2z Publications","Las Vegas","Nevada","","General Hate ","","","2012"
"Abiding Truth Ministries","Springfield","Massachusetts","","Anti-LGBTQ","","","2012"
"Abundant Life Fellowship","Morgantown","Indiana","","Christian Identity ","","","2012"
"AC Skins","Absecon","New Jersey","","Racist Skinhead ","","","2012"
"AC Skins","Atlantic City","New Jersey","","Racist Skinhead ","","","2012"
"AC Skins","Browns Mills","New Jersey","","Racist Skinhead ","","","2012"
"AC Skins","Galloway","New Jersey","","Racist Skinhead ","","","2012"
"AC Skins","Linwood","New Jersey","","Racist Skinhead ","","","2012"
"AC Skins","Little Egg Harbor City","New Jersey","","Racist Skinhead ","","","2012"
"AC Skins","Manchester Township","New Jersey","","Racist Skinhead ","","","2012"
"AC Skins","Marlton","New Jersey","","Racist Skinhead ","","","2012"
"AC Skins","Mays Landing","New Jersey","","Racist Skinhead ","","","2012"
"AC Skins","Somers Point","New Jersey","","Racist Skinhead ","","","2012"
"AC Skins","Wildwood","New Jersey","","Racist Skinhead ","","","2012"
"AC Skins","Woodbine","New Jersey","","Racist Skinhead ","","","2012"
"Advanced White Society","Birmingham","New Jersey","","White Nationalist ","","","2012"
"Aggressive Christianity","Berino","New Mexico","","General Hate ","","","2012"
"Aggressive Christianity","Fence Lake","New Mexico","","General Hate ","","","2012"
"Alabama Knights of the KKK","","Alabama","","Ku Klux Klan ","","Yes","2012"
"All Eyes On Egipt Bookstore","Chicago","Illinois","","","","","2012"
"All Eyes On Egypt Bookstore","Macon","Georgia","","","","","2012"
"All Eyes on Egypt Bookstore","Milledgeville","Georgia","","","","","2012"
"Alliance for Catholic Tradition","Pleasant Unity","Pennsylvania","","Radical Traditional Catholicism ","","","2012"
"Alternative Right","Whitefish","Montana","","White Nationalist ","","","2012"
"America's Promise Ministries","Sandpoint","Idaho","America's Promise Ministries","Christian Identity ","","","2012"
"American Border Patrol","Sierra Vista","Arizona","American Border Patrol/American Patrol","Anti-Immigrant","","","2012"
"American College of Pediatricians","Gainesville","Florida","American College of Pediatricians","Anti-LGBTQ","","","2012"
"The American Defence League","New York","New York","","Anti-Muslim","","","2012"
"American Family Association","Franklin","Pennsylvania","","Anti-LGBTQ","","","2012"
"American Family Association","Tupelo","Mississippi","American Family Association","Anti-LGBTQ","","","2012"
"American Free Press","Washington","District of Columbia","","General Hate ","","","2012"
"American Freedom Defense Initiative","New York","New York","","Anti-Muslim","","","2012"
"American Front","Hackensack","New Jersey","","Racist Skinhead ","","","2012"
"American Front","Haledon","New Jersey","","Racist Skinhead ","","","2012"
"American Front","Lynn Haven","Florida","","Racist Skinhead ","","","2012"
"American Front","Roselle","New Jersey","","Racist Skinhead ","","","2012"
"American Front","St. Cloud","Florida","","Racist Skinhead ","","","2012"
"American Front","Sacramento","California","","Racist Skinhead ","","","2012"
"American Immigration Control Foundation/Americans for Immigration Control","Monterey","Virginia","","Anti-Immigrant","","","2012"
"American Nationalist Union","Las Vegas","Nevada","","White Nationalist ","","","2012"
"American Nazi Party","","Texas","","Neo-Nazi","","Yes","2012"
"American Nazi Party","","California","","Neo-Nazi","","Yes","2012"
"American Nazi Party","","Louisiana","","Neo-Nazi","","Yes","2012"
"American Nazi Party","","Ohio","","Neo-Nazi","","Yes","2012"
"American Nazi Party","","Arizona","","Neo-Nazi","","Yes","2012"
"American Nazi Party","Westland","Michigan","","Neo-Nazi","","","2012"
"American Patrol/Voice of Citizens Together","Sherman Oaks","California","","Anti-Immigrant","","","2012"
"American Renaissance/New Century Foundation","Arlington","Virginia","","White Nationalist ","","","2012"
"American Renaissance/New Century Foundation","Oakton","Virginia","American Renaissance","White Nationalist ","","","2012"
"American Third Position","Gatlinburg","Tennessee","","White Nationalist ","","","2012"
"American Third Position","Grand Forks","North Dakota","","White Nationalist ","","","2012"
"American Third Position","Jacksonville","Florida","","White Nationalist ","","","2012"
"American Third Position","Lakewood Ranch","Florida","","White Nationalist ","","","2012"
"American Third Position","New York","New York","","White Nationalist ","","","2012"
"American Third Position","San Diego","California","","White Nationalist ","","","2012"
"American Third Position","","Oregon","","White Nationalist ","","Yes","2012"
"American Third Position","","Colorado","","White Nationalist ","","Yes","2012"
"American Third Position","","Idaho","","White Nationalist ","","Yes","2012"
"American Third Position","","Washington","","White Nationalist ","","Yes","2012"
"American Third Position","","Minnesota","","White Nationalist ","","Yes","2012"
"American Third Position","","Alaska","","White Nationalist ","","Yes","2012"
"American Third Position","Butler","New Jersey","","White Nationalist ","","","2012"
"American Third Position","Maidsville","West Virginia","","White Nationalist ","","","2012"
"American Third Position","Mesa","Arizona","","White Nationalist ","","","2012"
"American Third Position","Westminster","California","","White Nationalist ","","","2012"
"American Third Position","Las Vegas","Nevada","","White Nationalist ","","","2012"
"American Vision","Powder Springs","Georgia","","Anti-LGBTQ","","","2012"
"Americans for Legal Immigration (ALIPAC)","Raleigh","North Carolina","","Anti-Immigrant","","","2012"
"Americans for Truth About Homosexuality","Naperville","Illinois","","Anti-LGBTQ","","","2012"
"Anhangar SS Motorcycle Club","","Georgia","","Neo-Nazi","","Yes","2012"
"The Ark","Northport","Washington","","Christian Identity ","","","2012"
"Artisan Publishers","Muskogee","Oklahoma","","General Hate ","","","2012"
"Aryan Nations","Mt. Pleasant","Ohio","","Neo-Nazi","","","2012"
"Aryan Nations","","Oklahoma","","Neo-Nazi","","Yes","2012"
"Aryan Nations","","Missouri","","Neo-Nazi","","Yes","2012"
"Aryan Nations","Chicago","Illinois","","Neo-Nazi","","","2012"
"Aryan Nations","Converse","Louisiana","","Neo-Nazi","","","2012"
"Aryan Nations","","Idaho","","Neo-Nazi","","Yes","2012"
"Aryan Nations 88","North Bergen","New Jersey","","Neo-Nazi","","","2012"
"Aryan Nations Knights of the KKK","Elk City","Oklahoma","","Ku Klux Klan ","","","2012"
"Aryan Nations Knights of the KKK","Converse","Louisiana","","Ku Klux Klan ","","","2012"
"Aryan Nations Sinister Souls Motorcycle Club","Wood River","Illinois","","Neo-Nazi","","","2012"
"Aryan Terror Brigade","Fords","New Jersey","","Racist Skinhead ","","","2012"
"Aryan Terror Brigade","Wildwood","New Jersey","","Racist Skinhead ","","","2012"
"Aryan Terror Brigade","","Pennsylvania","","Racist Skinhead ","","Yes","2012"
"Aryan Terror Brigade","","Kentucky","","Racist Skinhead ","","Yes","2012"
"Aryan Terror Brigade","","Nebraska","","Racist Skinhead ","","Yes","2012"
"Aryan Terror Brigade","","Michigan","","Racist Skinhead ","","Yes","2012"
"Aryan Terror Brigade","","Nevada","","Racist Skinhead ","","Yes","2012"
"Aryan Terror Brigade","","Massachusetts","","Racist Skinhead ","","Yes","2012"
"Aryan Terror Brigade","","California","","Racist Skinhead ","","Yes","2012"
"Aryan Terror Brigade","","Arkansas","","Racist Skinhead ","","Yes","2012"
"Aryan Terror Brigade","","Missouri","","Racist Skinhead ","","Yes","2012"
"Aryan Terror Brigade","","Florida","","Racist Skinhead ","","Yes","2012"
"Aryan Terror Brigade","","Indiana","","Racist Skinhead ","","Yes","2012"
