"Title","City","State","Group","Ideology","Headquarters","Statewide","Year"
"11th Hour Remnant Messenger","Sandpoint","Idaho","","Christian Identity ","","","2001"
"14 Words Press","St. Maries","Idaho","","White Nationalist ","","","2001"
"88 Enterprises","Canton","Ohio","","General Hate ","","","2001"
"Alabama White Knights of the KKK","Anniston","Alabama","","Ku Klux Klan ","","","2001"
"Alabama White Knights of the KKK","Ashville","Alabama","","Ku Klux Klan ","","","2001"
"Alabama White Knights of the KKK","Birmingham","Alabama","","Ku Klux Klan ","","","2001"
"Alabama White Knights of the KKK","Clanton","Alabama","","Ku Klux Klan ","","","2001"
"Alabama White Knights of the KKK","Pelham","Alabama","","Ku Klux Klan ","","","2001"
"Alabama White Knights of the KKK","Shelby","Alabama","","Ku Klux Klan ","","","2001"
"Alabama White Knights of the KKK","Sylacauga","Alabama","","Ku Klux Klan ","","","2001"
"Alabama White Knights of the KKK","Wilton","Alabama","","Ku Klux Klan ","","","2001"
"America's Invisible Empire Knights of the KKK","Hartselle","Alabama","","Christian Identity ","","","2001"
"America's Invisible Empire Knights of the KKK","Pulaska","Tennessee","","Christian Identity ","","","2001"
"America's Promise Ministries","Sandpoint","Idaho","America's Promise Ministries","Christian Identity ","","","2001"
"American Friends of the British National Party","Falls Church","Virginia","","General Hate ","","","2001"
"American Front","Philadelphia","Pennsylvania","","Racist Skinhead ","","","2001"
"American Immigration Control Foundation / Americans for Immigration Control","Monterey","Virginia","","Anti-Immigrant","","","2001"
"American Knights of the Ku Klux Klan","Butler","Indiana","","Ku Klux Klan ","","","2001"
"American Knights of the Ku Klux Klan","Cedarville","Arkansas","","Ku Klux Klan ","","","2001"
"American Knights of the Ku Klux Klan","Cokeburg","Pennsylvania","","Ku Klux Klan ","","","2001"
"American Knights of the Ku Klux Klan","Collinsville","Oklahoma","","Ku Klux Klan ","","","2001"
"American Knights of the Ku Klux Klan","Conroe","Texas","","Ku Klux Klan ","","","2001"
"American Knights of the Ku Klux Klan","Goshen","Indiana","","Ku Klux Klan ","","","2001"
"American Knights of the Ku Klux Klan","Mauriceville","Texas","","Ku Klux Klan ","","","2001"
"American Knights of the Ku Klux Klan","Memphis","Tennessee","","Ku Klux Klan ","","","2001"
"American Knights of the Ku Klux Klan","Millspring","North Carolina","","Ku Klux Klan ","","","2001"
"American Knights of the Ku Klux Klan","Newburgh","New York","","Ku Klux Klan ","","","2001"
"American Knights of the Ku Klux Klan","Nixa","Missouri","","Ku Klux Klan ","","","2001"
"American Knights of the Ku Klux Klan","Orlando","Florida","","Ku Klux Klan ","","","2001"
"American Knights of the Ku Klux Klan","Riesel","Texas","","Ku Klux Klan ","","","2001"
"American Knights of the Ku Klux Klan","San Antonio","Texas","","Ku Klux Klan ","","","2001"
"American Knights of the Ku Klux Klan","Victoria","Texas","","Ku Klux Klan ","","","2001"
"American Knights of the Ku Klux Klan","Watts","Oklahoma","","Ku Klux Klan ","","","2001"
"American Knights of the Ku Klux Klan","Welsh","Louisiana","","Ku Klux Klan ","","","2001"
"American Knights of the Ku Klux Klan","Woodbridge","Virginia","","Ku Klux Klan ","","","2001"
"American Nazi Party","Eastpointe","Michigan","","Neo-Nazi","","","2001"
"American Third Position","Arvada","Colorado","","White Nationalist ","","","2001"
"Americans for Self Determination","Washington","District of Columbia","","White Nationalist ","","","2001"
"Artisan Publishers","Muskogee","Oklahoma","","General Hate ","","","2001"
"Aryan Action","Gardner","Massachusetts","","Racist Skinhead ","","","2001"
"Aryan Action","Louisville","Ohio","","Racist Skinhead ","","","2001"
"Aryan Action","Marmaduke","Arkansas","","Racist Skinhead ","","","2001"
"Aryan Action","Milwaukee","Wisconsin","","Racist Skinhead ","","","2001"
"Aryan Action","North Charleston","South Carolina","","Racist Skinhead ","","","2001"
"Aryan Action","Seattle","Washington","","Racist Skinhead ","","","2001"
"Aryan Action","Tampa","Florida","","Racist Skinhead ","","","2001"
"Aryan Action","Troy","Alabama","","Racist Skinhead ","","","2001"
"Aryan Action","Yucaipa","California","","Racist Skinhead ","","","2001"
"Aryan Christian Knights of the Ku Klux Klan","Browns Summit","North Carolina","","Ku Klux Klan ","","","2001"
"Aryan Covenant Church/ACC Services","Anderson","Texas","","Christian Identity ","","","2001"
"Aryan Nations","Bryans Road","Maryland","","Neo-Nazi","","","2001"
"Aryan Nations","Casselberry","Florida","","Neo-Nazi","","","2001"
"Aryan Nations","Dayton","Ohio","","Neo-Nazi","","","2001"
"Aryan Nations","De Beque","Colorado","","Neo-Nazi","","","2001"
"Aryan Nations","Easton","Pennsylvania","","Neo-Nazi","","","2001"
"Aryan Nations","Hayden","Idaho","","Neo-Nazi","","","2001"
"Aryan Nations","Huffman","Texas","","Neo-Nazi","","","2001"
"Aryan Nations","Leola","Pennsylvania","","Neo-Nazi","","","2001"
"Aryan Nations","Long Beach","California","","Neo-Nazi","","","2001"
"Aryan Nations","Marion","Ohio","","Neo-Nazi","","","2001"
"Aryan Nations","Mercer","Wisconsin","","Neo-Nazi","","","2001"
"Aryan Nations","New Brighton","Minnesota","","Neo-Nazi","","","2001"
"Aryan Nations","North Bergen","New Jersey","","Neo-Nazi","","","2001"
"Aryan Nations","Omaha","Nebraska","","Neo-Nazi","","","2001"
"Aryan Nations","Rapid City","South Dakota","","Neo-Nazi","","","2001"
