"Title","City","State","Group","Ideology","Headquarters","Statewide","Year"
"11th Hour Remnant Messenger","Santa Fe","New Mexico","","Christian Identity ","","","2011"
"9/11 Christian Center at Ground Zero","New York","New York","","Anti-Muslim","","","2011"
"a2z Publications","Las Vegas","Nevada","","General Hate ","","","2011"
"Abiding Truth Ministries","Springfield","Massachusetts","","Anti-LGBTQ","","","2011"
"Abundant Life Fellowship","Morgantown","Indiana","","Christian Identity ","","","2011"
"AC Skins","Absecon","New Jersey","","Racist Skinhead ","","","2011"
"AC Skins","Atlantic City","New Jersey","","Racist Skinhead ","","","2011"
"AC Skins","Browns Mills","New Jersey","","Racist Skinhead ","","","2011"
"AC Skins","East Brunswick","New Jersey","","Racist Skinhead ","","","2011"
"AC Skins","Galloway","New Jersey","","Racist Skinhead ","","","2011"
"AC Skins","Linwood","New Jersey","","Racist Skinhead ","","","2011"
"AC Skins","Little Egg Harbor City","New Jersey","","Racist Skinhead ","","","2011"
"AC Skins","Manchester Township","New Jersey","","Racist Skinhead ","","","2011"
"AC Skins","Marlton","New Jersey","","Racist Skinhead ","","","2011"
"AC Skins","Somers Point","New Jersey","","Racist Skinhead ","","","2011"
"AC Skins","Wildwood","New Jersey","","Racist Skinhead ","","","2011"
"AC Skins","Woodbine","New Jersey","","Racist Skinhead ","","","2011"
"Aggressive Christianity","Berino","New Mexico","","General Hate ","","","2011"
"Aggressive Christianity","Fence Lake","New Mexico","","General Hate ","","","2011"
"Alabama White Knights of the KKK","Ashland","Alabama","","Ku Klux Klan ","","","2011"
"Alabama White Knights of the KKK","Red Bay","Alabama","","Ku Klux Klan ","","","2011"
"All Eyes On Egipt Bookstore","Chicago","Illinois","","","","","2011"
"All Eyes On Egypt Bookstore","Macon","Georgia","","","","","2011"
"Alliance for Catholic Tradition","Pleasant Unity","Pennsylvania","","Radical Traditional Catholicism ","","","2011"
"Alternative Right","Whitefish","Montana","","White Nationalist ","","","2011"
"America's Promise Ministries","Sandpoint","Idaho","America's Promise Ministries","Christian Identity ","","","2011"
"American Aryan Reich","Atlanta","Georgia","","Neo-Nazi","","","2011"
"American Aryan Reich","Gatlinburg","Tennessee","","Neo-Nazi","","","2011"
"American Aryan Reich","Gulfport","Mississippi","","Neo-Nazi","","","2011"
"American Aryan Reich","Jacksonville","Florida","","Neo-Nazi","","","2011"
"American Aryan Reich","Little Rock","Arkansas","","Neo-Nazi","","","2011"
"American Aryan Reich","Mobile","Alabama","","Neo-Nazi","","","2011"
"American Aryan Reich","New Orleans","Louisiana","","Neo-Nazi","","","2011"
"American Aryan Reich","Raleigh","North Carolina","","Neo-Nazi","","","2011"
"American Aryan Reich","Sacramento","California","","Neo-Nazi","","","2011"
"American Aryan Reich","St. Louis","Missouri","","Neo-Nazi","","","2011"
"American Aryan Reich","","South Carolina","","Neo-Nazi","","Yes","2011"
"American Aryan Reich","","Illinois","","Neo-Nazi","","Yes","2011"
"American Aryan Reich","Daytona","Florida","","Neo-Nazi","","","2011"
"American Border Patrol","Sierra Vista","Arizona","American Border Patrol/American Patrol","Anti-Immigrant","","","2011"
"The American Defence League","New York","New York","","Anti-Muslim","","","2011"
"American Family Association","Tupelo","Mississippi","American Family Association","Anti-LGBTQ","","","2011"
"American Free Press","Washington","District of Columbia","","General Hate ","","","2011"
"American Front","Hackensack","New Jersey","","Racist Skinhead ","","","2011"
"American Front","Haledon","New Jersey","","Racist Skinhead ","","","2011"
"American Front","Lynn Haven","Florida","","Racist Skinhead ","","","2011"
"American Front","Roselle","New Jersey","","Racist Skinhead ","","","2011"
"American Front","St. Cloud","Florida","","Racist Skinhead ","","","2011"
"American Front","Sacramento","California","","Racist Skinhead ","","","2011"
"American Immigration Control Foundation/Americans for Immigration Control","Monterey","Virginia","","Anti-Immigrant","","","2011"
"American National Socialist Party","Bonita Springs","Florida","","Neo-Nazi","","","2011"
"American National Socialist Party","Corning","California","","Neo-Nazi","","","2011"
"American National Socialist Party","Eugene","Oregon","","Neo-Nazi","","","2011"
"American National Socialist Party","Chillicothe","Ohio","","Neo-Nazi","","","2011"
"American Nationalist Union","Las Vegas","Nevada","","White Nationalist ","","","2011"
"American Nazi Party","Laurens","South Carolina","","Neo-Nazi","","","2011"
"American Nazi Party","","California","","Neo-Nazi","","Yes","2011"
"American Nazi Party","Westland","Michigan","","Neo-Nazi","","","2011"
"American Patrol/Voice of Citizens Together","Sherman Oaks","California","","Anti-Immigrant","","","2011"
"American Renaissance/New Century Foundation","Arlington","Virginia","","White Nationalist ","","","2011"
"American Renaissance/New Century Foundation","Quincy","Massachusetts","","White Nationalist ","","","2011"
"American Renaissance/New Century Foundation","Chicago","Illinois","American Renaissance","White Nationalist ","","","2011"
"American Renaissance/New Century Foundation","Oakton","Virginia","American Renaissance","White Nationalist ","","","2011"
"American Third Position","Indianapolis","Indiana","","White Nationalist ","","","2011"
"American Third Position","Jacksonville","Florida","","White Nationalist ","","","2011"
"American Third Position","New York","New York","","White Nationalist ","","","2011"
"American Third Position","Ridgedale","Missouri","","White Nationalist ","","","2011"
"American Third Position","San Diego","California","","White Nationalist ","","","2011"
"American Third Position","Southern Illinois","Illinois","","White Nationalist ","","","2011"
"American Third Position","","South Carolina","","White Nationalist ","","Yes","2011"
