"Title","City","State","Group","Ideology","Headquarters","Statewide","Year"
"11th Hour Remnant Messenger","Santa Fe","New Mexico","","Christian Identity ","","","2010"
"9/11 Christian Center at Ground Zero","New York","New York","","Anti-Muslim","","","2010"
"a2z Publications","Las Vegas","Nevada","","General Hate ","","","2010"
"Abiding Truth Ministries","Springfield","Massachusetts","","Anti-LGBTQ","","","2010"
"Abundant Life Fellowship","Morgantown","Indiana","","Christian Identity ","","","2010"
"AC Skins","Absecon","New Jersey","","Racist Skinhead ","","","2010"
"AC Skins","Atlantic City","New Jersey","","Racist Skinhead ","","","2010"
"AC Skins","Browns Mills","New Jersey","","Racist Skinhead ","","","2010"
"AC Skins","Galloway","New Jersey","","Racist Skinhead ","","","2010"
"AC Skins","Linwood","New Jersey","","Racist Skinhead ","","","2010"
"AC Skins","Little Egg Harbor City","New Jersey","","Racist Skinhead ","","","2010"
"AC Skins","Manchester Township","New Jersey","","Racist Skinhead ","","","2010"
"AC Skins","Marlton","New Jersey","","Racist Skinhead ","","","2010"
"AC Skins","Somers Point","New Jersey","","Racist Skinhead ","","","2010"
"AC Skins","Wildwood","New Jersey","","Racist Skinhead ","","","2010"
"AC Skins","Woodbine","New Jersey","","Racist Skinhead ","","","2010"
"Alliance for Catholic Tradition","Pleasant Unity","Pennsylvania","","Radical Traditional Catholicism ","","","2010"
"America Forever","Sandy","Utah","","Anti-LGBTQ","","","2010"
"America's Promise Ministries","Sandpoint","Idaho","America's Promise Ministries","Christian Identity ","","","2010"
"American Border Patrol","Sierra Vista","Arizona","American Border Patrol/American Patrol","Anti-Immigrant","","","2010"
"American Family Association","Tupelo","Mississippi","American Family Association","Anti-LGBTQ","","","2010"
"American Free Press","Washington","District of Columbia","","General Hate ","","","2010"
"American Front","Hackensack","New Jersey","","Racist Skinhead ","","","2010"
"American Front","Haledon","New Jersey","","Racist Skinhead ","","","2010"
"American Front","Roselle","New Jersey","","Racist Skinhead ","","","2010"
"American Front","St. Cloud","Florida","","Racist Skinhead ","","","2010"
"American Front","Sacramento","California","","Racist Skinhead ","","","2010"
"American Immigration Control Foundation/Americans for Immigration Control","Monterey","Virginia","","Anti-Immigrant","","","2010"
"American National Socialist Party","Bonita Springs","Florida","","Neo-Nazi","","","2010"
"American National Socialist Party","Corning","California","","Neo-Nazi","","","2010"
"American National Socialist Party","Milton","Washington","","Neo-Nazi","","","2010"
"American National Socialist Party","","Mississippi","","Neo-Nazi","","Yes","2010"
"American National Socialist Party","","Nevada","","Neo-Nazi","","Yes","2010"
"American National Socialist Party","","Michigan","","Neo-Nazi","","Yes","2010"
"American National Socialist Party","","Iowa","","Neo-Nazi","","Yes","2010"
"American National Socialist Party","","North Dakota","","Neo-Nazi","","Yes","2010"
"American National Socialist Party","","Colorado","","Neo-Nazi","","Yes","2010"
"American National Socialist Party","","Arizona","","Neo-Nazi","","Yes","2010"
"American National Socialist Party","","Montana","","Neo-Nazi","","Yes","2010"
"American National Socialist Party","","Oklahoma","","Neo-Nazi","","Yes","2010"
"American National Socialist Party","Chillicothe","Ohio","","Neo-Nazi","","","2010"
"American Nationalist Union","Las Vegas","Nevada","","White Nationalist ","","","2010"
"American Nazi Party","Westland","Michigan","","Neo-Nazi","","","2010"
"American Patrol/Voice of Citizens Together","Sherman Oaks","California","","Anti-Immigrant","","","2010"
"American Renaissance/New Century Foundation","Arlington","Virginia","","White Nationalist ","","","2010"
"American Renaissance/New Century Foundation","Southern California","California","","White Nationalist ","","","2010"
"American Renaissance/New Century Foundation","Chicago","Illinois","American Renaissance","White Nationalist ","","","2010"
"American Renaissance/New Century Foundation","Oakton","Virginia","American Renaissance","White Nationalist ","","","2010"
"American Third Position","Ashland","New Hampshire","","White Nationalist ","","","2010"
"American Third Position","San Diego","California","","White Nationalist ","","","2010"
"American Third Position","Butler","New Jersey","","White Nationalist ","","","2010"
"American Third Position","","Arizona","","White Nationalist ","","Yes","2010"
"American Third Position","","New York","","White Nationalist ","","Yes","2010"
"American Third Position","","West Virginia","","White Nationalist ","","Yes","2010"
"American Third Position","","North Carolina","","White Nationalist ","","Yes","2010"
"American Third Position","","Pennsylvania","","White Nationalist ","","Yes","2010"
"American Third Position","","Nevada","","White Nationalist ","","Yes","2010"
"American Third Position","Westminster","California","","White Nationalist ","","","2010"
"American Vision","Powder Springs","Georgia","","Anti-LGBTQ","","","2010"
"Americans for Truth About Homosexuality","Naperville","Illinois","","Anti-LGBTQ","","","2010"
"Artisan Publishers","Muskogee","Oklahoma","","General Hate ","","","2010"
"Aryan Nations","","Arkansas","","Neo-Nazi","","Yes","2010"
"Aryan Nations","Wanaque","New Jersey","","Neo-Nazi","","","2010"
"Aryan Nations","","Tennessee","","Neo-Nazi","","Yes","2010"
"Aryan Nations","","Oregon","","Neo-Nazi","","Yes","2010"
"Aryan Nations","","New York","","Neo-Nazi","","Yes","2010"
"Aryan Nations","","Colorado","","Neo-Nazi","","Yes","2010"
"Aryan Nations","","California","","Neo-Nazi","","Yes","2010"
"Aryan Nations","Lexington","South Carolina","","Neo-Nazi","","","2010"
"Aryan Nations","St. Cloud","Florida","","Neo-Nazi","","","2010"
"Aryan Nations 88","Antioch","Tennessee","","Neo-Nazi","","","2010"
"Aryan Nations 88","Ashland","Alabama","","Neo-Nazi","","","2010"
"Aryan Nations 88","Boise","Idaho","","Neo-Nazi","","","2010"
"Aryan Nations 88","Bonita Springs","Florida","","Neo-Nazi","","","2010"
"Aryan Nations 88","Charleston","South Carolina","","Neo-Nazi","","","2010"
"Aryan Nations 88","Florissant","Missouri","","Neo-Nazi","","","2010"
"Aryan Nations 88","Isle","Minnesota","","Neo-Nazi","","","2010"
