"Title","City","State","Group","Ideology","Headquarters","Statewide","Year"
"11th Hour Remnant Messenger","Santa Fe","New Mexico","","Christian Identity ","","","2014"
"a2z Publications","Las Vegas","Nevada","","General Hate ","","","2014"
"Abiding Truth Ministries","Springfield","Massachusetts","","Anti-LGBTQ","","","2014"
"Advanced White Society","Pemberton Township","New Jersey","","White Nationalist ","","","2014"
"Aggressive Christianity","Fence Lake","New Mexico","","General Hate ","","","2014"
"All Eyes on Egypt Bookstore","Milledgeville","Georgia","","","","","2014"
"Alliance for Catholic Tradition","Pleasant Unity","Pennsylvania","","Radical Traditional Catholicism ","","","2014"
"Alternative Right","Atlanta","Georgia","","White Nationalist ","","","2014"
"America's Promise Ministries","Sandpoint","Idaho","America's Promise Ministries","Christian Identity ","","","2014"
"American Border Patrol","Sierra Vista","Arizona","American Border Patrol/American Patrol","Anti-Immigrant","","","2014"
"American College of Pediatricians","Gainesville","Florida","American College of Pediatricians","Anti-LGBTQ","","","2014"
"The American Defence League","New York","New York","","Anti-Muslim","","","2014"
"American Family Association","Tupelo","Mississippi","American Family Association","Anti-LGBTQ","","","2014"
"American Free Press","Washington","District of Columbia","","General Hate ","","","2014"
"American Freedom Defense Initiative","New York","New York","","Anti-Muslim","","","2014"
"American Front","Sacramento","California","","Racist Skinhead ","","","2014"
"American Immigration Control Foundation/Americans for Immigration Control","Monterey","Virginia","","Anti-Immigrant","","","2014"
"American Nationalist Union","Las Vegas","Nevada","","White Nationalist ","","","2014"
"American Nazi Party","Westland","Michigan","","Neo-Nazi","","","2014"
"American Renaissance/New Century Foundation","Oakton","Virginia","American Renaissance","White Nationalist ","","","2014"
"American Vision","Powder Springs","Georgia","","Anti-LGBTQ","","","2014"
"Americans for Truth About Homosexuality","Naperville","Illinois","","Anti-LGBTQ","","","2014"
"Americans Have Had Enough","Mauldin","South Carolina","","Anti-Immigrant","","","2014"
"Artisan Publishers","Muskogee","Oklahoma","","General Hate ","","","2014"
"Aryan Nations Knights of the KKK","Converse","Louisiana","","Ku Klux Klan ","","","2014"
"Aryan Nations","Converse","Louisiana","","Neo-Nazi","","","2014"
"Aryan Nations","Bainbridge","Ohio","","Neo-Nazi","","","2014"
"Aryan Strikeforce","Somerville","New Jersey","","Racist Skinhead ","","","2014"
"Aryan Wear","Keller","Texas","","White Nationalist ","","","2014"
"As-Sabiqun","Washington","District of Columbia","","General Hate ","","","2014"
"ATLAH World Missionary Church (All The Land Anointed Holy)","New York","New York","","Anti-LGBTQ","","","2014"
"Atlas Shrugs","New York","New York","","Anti-Muslim","","","2014"
"Bare Naked Islam","Marina del Rey","California","","Anti-Muslim","","","2014"
"Barnes Review/Foundation for Economic Liberty, Inc.","Washington","District of Columbia","Barnes Review/Foundation for Economic Liberty, Inc.","Holocaust Denial","","","2014"
"Battalion 14","Jackson","Michigan","","Neo-Nazi","","","2014"
"Bill Keller Ministries","St. Petersburg","Florida","","General Hate ","","","2014"
"Black Riders Liberation Party","Los Angeles","California","","","","","2014"
