"Title","City","State","Group","Ideology","Headquarters","Statewide","Year"
"The Creativity Movement","","Arkansas","","Neo-Nazi","","Yes","2013"
"11th Hour Remnant Messenger","Santa Fe","New Mexico","","Christian Identity ","","","2013"
"9/11 Christian Center at Ground Zero","New York","New York","","Anti-Muslim","","","2013"
"a2z Publications","Las Vegas","Nevada","","General Hate ","","","2013"
"Abiding Truth Ministries","Springfield","Massachusetts","","Anti-LGBTQ","","","2013"
"Abundant Life Fellowship","Morgantown","Indiana","","Christian Identity ","","","2013"
"AC Skins","Absecon","New Jersey","","Racist Skinhead ","","","2013"
"AC Skins","Atlantic City","New Jersey","","Racist Skinhead ","","","2013"
"AC Skins","Brick","New Jersey","","Racist Skinhead ","","","2013"
"AC Skins","Brigantine","New Jersey","","Racist Skinhead ","","","2013"
"AC Skins","Browns Mills","New Jersey","","Racist Skinhead ","","","2013"
"AC Skins","Galloway","New Jersey","","Racist Skinhead ","","","2013"
"AC Skins","Little Egg Harbor City","New Jersey","","Racist Skinhead ","","","2013"
"AC Skins","Marlton","New Jersey","","Racist Skinhead ","","","2013"
"AC Skins","Marmora","New Jersey","","Racist Skinhead ","","","2013"
"AC Skins","Mays Landing","New Jersey","","Racist Skinhead ","","","2013"
"AC Skins","Pine Hill","New Jersey","","Racist Skinhead ","","","2013"
"AC Skins","Somers Point","New Jersey","","Racist Skinhead ","","","2013"
"AC Skins","Wildwood","New Jersey","","Racist Skinhead ","","","2013"
"AC Skins","Woodbine","New Jersey","","Racist Skinhead ","","","2013"
"Advanced White Society","Birmingham","New Jersey","","White Nationalist ","","","2013"
"Agenda21Today","Shady Grove","Florida","","General Hate ","","","2013"
"Aggressive Christianity","Berino","New Mexico","","General Hate ","","","2013"
"Aggressive Christianity","Fence Lake","New Mexico","","General Hate ","","","2013"
"All Eyes On Egypt Bookstore","Macon","Georgia","","","","","2013"
"All Eyes on Egypt Bookstore","Milledgeville","Georgia","","","","","2013"
"Alliance for Catholic Tradition","Pleasant Unity","Pennsylvania","","Radical Traditional Catholicism ","","","2013"
"Alternative Right","Whitefish","Montana","","White Nationalist ","","","2013"
"America's Promise Ministries","Sandpoint","Idaho","America's Promise Ministries","Christian Identity ","","","2013"
