"Title","City","State","Group","Ideology","Headquarters","Statewide","Year"
"14 Words Press","Wilmington","North Carolina","","White Nationalist ","","","2005"
"AC Skins","Little Egg Harbor City","New Jersey","","Racist Skinhead ","","","2005"
"AC Skins","Somers Point","New Jersey","","Racist Skinhead ","","","2005"
"Alliance for Catholic Tradition","Summersville","West Virginia","","Radical Traditional Catholicism ","","","2005"
"America's Invisible Empire Knights of the KKK","Pulaski","Tennessee","","Christian Identity ","","","2005"
"America's Promise Ministries","Sandpoint","Idaho","America's Promise Ministries","Christian Identity ","","","2005"
"American Border Patrol","Sierra Vista","Arizona","American Border Patrol/American Patrol","Anti-Immigrant","","","2005"
"American Front","Orlando","Florida","","Racist Skinhead ","","","2005"
"American Front","","Utah","","Racist Skinhead ","","Yes","2005"
"American Front","","California","","Racist Skinhead ","","Yes","2005"
"American Immigration Control Foundation / Americans for Immigration Control","Monterey","Virginia","","Anti-Immigrant","","","2005"
"American Nazi Party","Westland","Michigan","","Neo-Nazi","","","2005"
"American Patrol/Voice of Citizens Together","Sherman Oaks","California","","Anti-Immigrant","","","2005"
"American Renaissance/New Century Foundation","Arlington","Virginia","American Renaissance","White Nationalist ","","","2005"
"American Renaissance/New Century Foundation","Chicago","Illinois","American Renaissance","White Nationalist ","","","2005"
"American Renaissance/New Century Foundation","Oakton","Virginia","American Renaissance","White Nationalist ","","","2005"
"American Vision","Powder Springs","Georgia","","Anti-LGBTQ","","","2005"
"American White Knights of the KKK","Cordele","Georgia","","Ku Klux Klan ","","","2005"
"American White Knights of the KKK","Englewood","Florida","","Ku Klux Klan ","","","2005"
"American White Knights of the KKK","San Angelo","Texas","","Ku Klux Klan ","","","2005"
"American White Knights of the KKK","Winnsboro","Louisiana","","Ku Klux Klan ","","","2005"
"Americans for Self Determination","Falls Church","Virginia","","White Nationalist ","","","2005"
"Artisan Publishers","Muskogee","Oklahoma","","General Hate ","","","2005"
"Aryan Covenant Church/ACC Services","Anderson","Texas","","Christian Identity ","","","2005"
"Aryan Nations","Arizona City","Arizona","","Neo-Nazi","","","2005"
"Aryan Nations","Citrus Heights","California","","Neo-Nazi","","","2005"
"Aryan Nations","Coeur D'Alene","Idaho","","Neo-Nazi","","","2005"
"Aryan Nations","Conyers","Georgia","","Neo-Nazi","","","2005"
"Aryan Nations","Drayton","South Carolina","","Neo-Nazi","","","2005"
"Aryan Nations","Lemoyne","Pennsylvania","","Neo-Nazi","","","2005"
"Aryan Nations","Lincoln","Alabama","","Neo-Nazi","","","2005"
"Aryan Nations","Little Rock","Arkansas","","Neo-Nazi","","","2005"
"Aryan Nations","Madison","Wisconsin","","Neo-Nazi","","","2005"
"Aryan Nations","Mount Washington","Kentucky","","Neo-Nazi","","","2005"
"Aryan Nations","North Bend","Oregon","","Neo-Nazi","","","2005"
"Aryan Nations","North Bergen","New Jersey","","Neo-Nazi","","","2005"
"Aryan Nations","Reno","Nevada","","Neo-Nazi","","","2005"
"Aryan Nations","Tacoma","Washington","","Neo-Nazi","","","2005"
"Aryan Nations","Talladega","Alabama","","Neo-Nazi","","","2005"
"Aryan Nations","Leola","Pennsylvania","","Neo-Nazi","","","2005"
"Aryan Nations","Rhodes","Michigan","","Neo-Nazi","","","2005"
"Aryan Nations","Sebring","Florida","","Neo-Nazi","","","2005"
"Aryan Nations Knights of the KKK","Calhoun","Louisiana","","Ku Klux Klan ","","","2005"
"Aryan Nations Knights of the KKK","Milton","Florida","","Ku Klux Klan ","","","2005"
"Aryan Nations Knights of the KKK","Somerset","Texas","","Ku Klux Klan ","","","2005"
"Aryan Nations Knights of the KKK","St. Clairsville","Ohio","","Ku Klux Klan ","","","2005"
"Aryan Nations Knights of the KKK","Thorsby","Alabama","","Ku Klux Klan ","","","2005"
"Aryan Nations Youth Action Corps","Arrowhead","California","","Neo-Nazi","","","2005"
