"Title","City","State","Group","Ideology","Headquarters","Statewide","Year"
"14 Words Press","Wilmington","North Carolina","","White Nationalist ","","","2004"
"AC Skins","Atlantic County","New Jersey","","Racist Skinhead ","","","2004"
"America's Promise Ministries","Sandpoint","Idaho","America's Promise Ministries","Christian Identity ","","","2004"
"American Immigration Control Foundation / Americans for Immigration Control","Monterey","Virginia","","Anti-Immigrant","","","2004"
"American Nazi Party","Westland","Michigan","","Neo-Nazi","","","2004"
"American Patrol/Voice of Citizens Together","Sherman Oaks","California","","Anti-Immigrant","","","2004"
"American Renaissance/New Century Foundation","Chicago","Illinois","American Renaissance","White Nationalist ","","","2004"
"American Renaissance/New Century Foundation","Oakton","Virginia","American Renaissance","White Nationalist ","","","2004"
"American Third Position","Clifton","New Jersey","","White Nationalist ","","","2004"
"American Vision","Powder Springs","Georgia","","Anti-LGBTQ","","","2004"
"American White Knights of the KKK","Cordele","Georgia","","Ku Klux Klan ","","","2004"
"American White Knights of the KKK","San Angelo","Texas","","Ku Klux Klan ","","","2004"
"Americans for Self Determination","Falls Church","Virginia","","White Nationalist ","","","2004"
"Ameriklan","Heber Springs","Arkansas","","Ku Klux Klan ","","","2004"
"Artisan Publishers","Muskogee","Oklahoma","","General Hate ","","","2004"
"Aryan Covenant Church/ACC Services","Anderson","Texas","","Christian Identity ","","","2004"
"Aryan Knights of the Confederacy Ku Klux Klan","Springfield","Ohio","","Ku Klux Klan ","","","2004"
"Aryan Nations","Arizona City","Arizona","","Neo-Nazi","","","2004"
"Aryan Nations","Citrus Heights","California","","Neo-Nazi","","","2004"
"Aryan Nations","Coeur D'Alene","Idaho","","Neo-Nazi","","","2004"
"Aryan Nations","Conyers","Georgia","","Neo-Nazi","","","2004"
"Aryan Nations","Drayton","South Carolina","","Neo-Nazi","","","2004"
"Aryan Nations","Lemoyne","Pennsylvania","","Neo-Nazi","","","2004"
"Aryan Nations","Lincoln","Alabama","","Neo-Nazi","","","2004"
"Aryan Nations","Little Rock","Arkansas","","Neo-Nazi","","","2004"
"Aryan Nations","Madison","Wisconsin","","Neo-Nazi","","","2004"
"Aryan Nations","Mount Washington","Kentucky","","Neo-Nazi","","","2004"
"Aryan Nations","North Bend","Oregon","","Neo-Nazi","","","2004"
"Aryan Nations","North Bergen","New Jersey","","Neo-Nazi","","","2004"
"Aryan Nations","Reno","Nevada","","Neo-Nazi","","","2004"
"Aryan Nations","Tacoma","Washington","","Neo-Nazi","","","2004"
"Aryan Nations","Talladega","Alabama","","Neo-Nazi","","","2004"
"Aryan Nations","Leola","Pennsylvania","","Neo-Nazi","","","2004"
"Aryan Nations","Rhodes","Michigan","","Neo-Nazi","","","2004"
"Aryan Nations","Sebring","Florida","","Neo-Nazi","","","2004"
"Aryan Nations Knights of the KKK","Calhoun","Louisiana","","Ku Klux Klan ","","","2004"
"Aryan Nations Knights of the KKK","Milton","Florida","","Ku Klux Klan ","","","2004"
