"Title","City","State","Group","Ideology","Headquarters","Statewide","Year"
"14 Words Press","Wilmington","North Carolina","","White Nationalist ","","","2006"
"AC Skins","Atlantic City","New Jersey","","Racist Skinhead ","","","2006"
"AC Skins","Little Egg Harbor City","New Jersey","","Racist Skinhead ","","","2006"
"AC Skins","Manchester Township","New Jersey","","Racist Skinhead ","","","2006"
"AC Skins","Somers Point","New Jersey","","Racist Skinhead ","","","2006"
"Alliance for Catholic Tradition","Summersville","West Virginia","","Radical Traditional Catholicism ","","","2006"
"America's Promise Ministries","Sandpoint","Idaho","America's Promise Ministries","Christian Identity ","","","2006"
"American Border Patrol","Sierra Vista","Arizona","American Border Patrol/American Patrol","Anti-Immigrant","","","2006"
"American Front","Orlando","Florida","","Racist Skinhead ","","","2006"
"American Front","Sacramento","California","","Racist Skinhead ","","","2006"
"American Front","","Nevada","","Racist Skinhead ","","Yes","2006"
"American Immigration Control Foundation / Americans for Immigration Control","Monterey","Virginia","","Anti-Immigrant","","","2006"
"American National Socialist Workers Party","Auburn","Alabama","","Neo-Nazi","","","2006"
"American National Socialist Workers Party","Brooks","Kentucky","","Neo-Nazi","","","2006"
"American National Socialist Workers Party","Conway","Missouri","","Neo-Nazi","","","2006"
"American National Socialist Workers Party","Danforth","Maine","","Neo-Nazi","","","2006"
"American National Socialist Workers Party","Elkridge","Maryland","","Neo-Nazi","","","2006"
"American National Socialist Workers Party","Fisher","West Virginia","","Neo-Nazi","","","2006"
"American National Socialist Workers Party","Jackson","Michigan","","Neo-Nazi","","","2006"
"American National Socialist Workers Party","Pembroke","Georgia","","Neo-Nazi","","","2006"
"American National Socialist Workers Party","Phoenix","Arizona","","Neo-Nazi","","","2006"
"American National Socialist Workers Party","Roanoke","Virginia","","Neo-Nazi","","","2006"
"American National Socialist Workers Party","Sarasota","Florida","","Neo-Nazi","","","2006"
"American National Socialist Workers Party","Tulsa","Oklahoma","","Neo-Nazi","","","2006"
"American National Socialist Workers Party","Wilmington","Ohio","","Neo-Nazi","","","2006"
"American Nationalist Union","Allison Park","Pennsylvania","","White Nationalist ","","","2006"
"American Nazi Party","Westland","Michigan","","Neo-Nazi","","","2006"
"American Patrol/Voice of Citizens Together","Sherman Oaks","California","","Anti-Immigrant","","","2006"
"American Reformation Ministries","Malvern","Arkansas","","Christian Identity ","","","2006"
"American Renaissance/New Century Foundation","Arlington","Virginia","American Renaissance","White Nationalist ","","","2006"
"American Renaissance/New Century Foundation","Chicago","Illinois","American Renaissance","White Nationalist ","","","2006"
"American Renaissance/New Century Foundation","Oakton","Virginia","American Renaissance","White Nationalist ","","","2006"
"American Thule Society","Black Canyon","Arizona","","Neo-Nazi","","","2006"
"American Thule Society","Cleona","Pennsylvania","","Neo-Nazi","","","2006"
"American Thule Society","Richmond","Virginia","","Neo-Nazi","","","2006"
"American Thule Society","","Texas","","Neo-Nazi","","Yes","2006"
"American Thule Society","","California","","Neo-Nazi","","Yes","2006"
"American Thule Society","","Indiana","","Neo-Nazi","","Yes","2006"
"American Vision","Powder Springs","Georgia","","Anti-LGBTQ","","","2006"
"American White Knights of the KKK","Cordele","Georgia","","Ku Klux Klan ","","","2006"
"American White Knights of the KKK","San Angelo","Texas","","Ku Klux Klan ","","","2006"
"American White Knights of the KKK","Sherman","Texas","","Ku Klux Klan ","","","2006"
"Americans for Self Determination","Falls Church","Virginia","","White Nationalist ","","","2006"
"Artisan Publishers","Muskogee","Oklahoma","","General Hate ","","","2006"
"Aryan Anarchist Skins","Mount Morris","Illinois","","Racist Skinhead ","","","2006"
"Aryan Covenant Church/ACC Services","Anderson","Texas","","Christian Identity ","","","2006"
"Aryan Nations","Appleton","Wisconsin","","Neo-Nazi","","","2006"
"Aryan Nations","Bellmead","Texas","","Neo-Nazi","","","2006"
"Aryan Nations","Bixby","Oklahoma","","Neo-Nazi","","","2006"
"Aryan Nations","Chino","California","","Neo-Nazi","","","2006"
"Aryan Nations","Coeur D'Alene","Idaho","","Neo-Nazi","","","2006"
"Aryan Nations","Conyers","Georgia","","Neo-Nazi","","","2006"
"Aryan Nations","Houston","Texas","","Neo-Nazi","","","2006"
"Aryan Nations","Lemoyne","Pennsylvania","","Neo-Nazi","","","2006"
"Aryan Nations","Lewiston","Maine","","Neo-Nazi","","","2006"
"Aryan Nations","Lincoln","Alabama","","Neo-Nazi","","","2006"
"Aryan Nations","London","Arkansas","","Neo-Nazi","","","2006"
"Aryan Nations","Midland Park","New Jersey","","Neo-Nazi","","","2006"
"Aryan Nations","Moncks Corner","South Carolina","","Neo-Nazi","","","2006"
"Aryan Nations","Selma","Alabama","","Neo-Nazi","","","2006"
"Aryan Nations","Spokane","Washington","","Neo-Nazi","","","2006"
"Aryan Nations","Tacoma","Washington","","Neo-Nazi","","","2006"
"Aryan Nations","Toms River","New Jersey","","Neo-Nazi","","","2006"
"Aryan Nations","","North Carolina","","Neo-Nazi","","Yes","2006"
"Aryan Nations","","Missouri","","Neo-Nazi","","Yes","2006"
"Aryan Nations","","Tennessee","","Neo-Nazi","","Yes","2006"
"Aryan Nations","Lexington","South Carolina","","Neo-Nazi","","","2006"
"Aryan Nations Youth Action Corps","","Minnesota","","Neo-Nazi","","Yes","2006"
"Aryan Nations Youth Action Corps","","California","","Neo-Nazi","","Yes","2006"
"Aryan Raiders","Alexander City","Alabama","","Neo-Nazi","","","2006"
"Aryan Wear","Keller","Texas","","White Nationalist ","","","2006"
"Barnes Review/Foundation for Economic Liberty Inc","Washington","District of Columbia","","Holocaust Denial","","","2006"
"Bay Area Skinheads","San Francisco","California","","Racist Skinhead ","","","2006"
"Bayou Knights of the KKK","Denham Springs","Louisiana","","Ku Klux Klan ","","","2006"
"Bayou Knights of the KKK","East Camden","Arkansas","","Ku Klux Klan ","","","2006"
"Bayou Knights of the KKK","Homer","Louisiana","","Ku Klux Klan ","","","2006"
"Bayou Knights of the KKK","Kiln","Mississippi","","Ku Klux Klan ","","","2006"
"Bayou Knights of the KKK","Mansfield","Louisiana","","Ku Klux Klan ","","","2006"
"Bayou Knights of the KKK","Midlothian","Texas","","Ku Klux Klan ","","","2006"
"Bayou Knights of the KKK","Shawnee","Oklahoma","","Ku Klux Klan ","","","2006"
"Bayou Knights of the KKK","Smackover","Arkansas","","Ku Klux Klan ","","","2006"
"Bayou Knights of the KKK","St. Amant","Louisiana","","Ku Klux Klan ","","","2006"
"Bayou Knights of the KKK","","Tennessee","","Ku Klux Klan ","","Yes","2006"
"Berdoo Skinhead Family","San Bernadino","California","","Racist Skinhead ","","","2006"
"Bergen County Hooligans","Garfield","New Jersey","","Racist Skinhead ","","","2006"
"Bergen County Hooligans","Lodi","New Jersey","","Racist Skinhead ","","","2006"
"Bergen County Hooligans","Rutherford","New Jersey","","Racist Skinhead ","","","2006"
"Bergen County Hooligans","Wallington","New Jersey","","Racist Skinhead ","","","2006"
"Blood and Honour","Orange County","California","","Racist Skinhead ","","","2006"
"Blood and Honour","Richardson","Texas","","Racist Skinhead ","","","2006"
"Blood and Honour","Salem","Ohio","","Racist Skinhead ","","","2006"
"Border Guardians","Livingston","Texas","","Anti-Immigrant","","","2006"
"Brotherhood of Klans Knights of the KKK","Atoka","Oklahoma","","Ku Klux Klan ","","","2006"
"Brotherhood of Klans Knights of the KKK","Beardstown","Illinois","","Ku Klux Klan ","","","2006"
"Brotherhood of Klans Knights of the KKK","Berwyn","Illinois","","Ku Klux Klan ","","","2006"
"Brotherhood of Klans Knights of the KKK","Cement","Oklahoma","","Ku Klux Klan ","","","2006"
"Brotherhood of Klans Knights of the KKK","Coalgate","Oklahoma","","Ku Klux Klan ","","","2006"
"Brotherhood of Klans Knights of the KKK","Columbus","Ohio","","Ku Klux Klan ","","","2006"
"Brotherhood of Klans Knights of the KKK","Crescent City","California","","Ku Klux Klan ","","","2006"
