"Title","City","State","Group","Ideology","Headquarters","Statewide","Year"
"a2z Publications","Las Vegas","Nevada","","General Hate ","","","2009"
"Abiding Truth Ministries","Springfield","Massachusetts","","Anti-LGBTQ","","","2009"
"AC Skins","Absecon","New Jersey","","Racist Skinhead ","","","2009"
"AC Skins","Atlantic City","New Jersey","","Racist Skinhead ","","","2009"
"AC Skins","Browns Mills","New Jersey","","Racist Skinhead ","","","2009"
"AC Skins","Galloway","New Jersey","","Racist Skinhead ","","","2009"
"AC Skins","Linwood","New Jersey","","Racist Skinhead ","","","2009"
"AC Skins","Little Egg Harbor City","New Jersey","","Racist Skinhead ","","","2009"
"AC Skins","Manchester Township","New Jersey","","Racist Skinhead ","","","2009"
"AC Skins","Marlton","New Jersey","","Racist Skinhead ","","","2009"
"AC Skins","Somers Point","New Jersey","","Racist Skinhead ","","","2009"
"AC Skins","Wildwood","New Jersey","","Racist Skinhead ","","","2009"
"AC Skins","Woodbine","New Jersey","","Racist Skinhead ","","","2009"
"Alabama Christian Klan","Birmingham","Alabama","","Ku Klux Klan ","","","2009"
"Alliance for Catholic Tradition","Pleasant Unity","Pennsylvania","","Radical Traditional Catholicism ","","","2009"
"America Forever","Sandy","Utah","","Anti-LGBTQ","","","2009"
"America Forever Foundation","Sandy","Utah","","Anti-LGBTQ","","","2009"
"America's Promise Ministries","Sandpoint","Idaho","America's Promise Ministries","Christian Identity ","","","2009"
"American Border Patrol","Sierra Vista","Arizona","American Border Patrol/American Patrol","Anti-Immigrant","","","2009"
"American Free Press","Washington","District of Columbia","","General Hate ","","","2009"
"American Front","Blountsville","Alabama","","Racist Skinhead ","","","2009"
"American Front","Sacramento","California","","Racist Skinhead ","","","2009"
"American Front","St. Cloud","Florida","","Racist Skinhead ","","","2009"
"American Front","Troy","New York","","Racist Skinhead ","","","2009"
"American Immigration Control Foundation/Americans for Immigration Control","Monterey","Virginia","","Anti-Immigrant","","","2009"
"American National Socialist Workers Party","Elkridge","Maryland","","Neo-Nazi","","","2009"
"American Nationalist Union","Las Vegas","Nevada","","White Nationalist ","","","2009"
"American Nazi Party","Westland","Michigan","","Neo-Nazi","","","2009"
"American Patrol/Voice of Citizens Together","Sherman Oaks","California","","Anti-Immigrant","","","2009"
"American Renaissance/New Century Foundation","Arlington","Virginia","American Renaissance","White Nationalist ","","","2009"
"American Renaissance/New Century Foundation","Chicago","Illinois","American Renaissance","White Nationalist ","","","2009"
"American Renaissance/New Century Foundation","Oakton","Virginia","American Renaissance","White Nationalist ","","","2009"
"American Renaissance/New Century Foundation","San Francisco","California","American Renaissance","White Nationalist ","","","2009"
"American Renaissance/New Century Foundation","Southern California","California","American Renaissance","White Nationalist ","","","2009"
"American Third Position","Los Angeles","California","","White Nationalist ","","","2009"
"American Vision","Powder Springs","Georgia","","Anti-LGBTQ","","","2009"
"Artisan Publishers","Muskogee","Oklahoma","","General Hate ","","","2009"
"Aryan 88 - The Official Johnny Rebel Website","Maple Shade","New Jersey","","Hate Music ","","","2009"
"Aryan Frontline Skinheads","Houston","Texas","","Racist Skinhead ","","","2009"
"Aryan Nations","Appleton","Wisconsin","","Neo-Nazi","","","2009"
"Aryan Nations","Coeur d'Alene","Idaho","","Neo-Nazi","","","2009"
"Aryan Nations","Tacoma","Washington","","Neo-Nazi","","","2009"
"Aryan Nations","","Pennsylvania","","Neo-Nazi","","Yes","2009"
"Aryan Nations","Attleboro","Massachusetts","","Neo-Nazi","","","2009"
"Aryan Nations","Lexington","South Carolina","","Neo-Nazi","","","2009"
"Aryan Nations 88","Athol","Idaho","","Neo-Nazi","","","2009"
"Aryan Nations 88","","Montana","","Neo-Nazi","","Yes","2009"
"Aryan Nations 88","","Texas","","Neo-Nazi","","Yes","2009"
"Aryan Nations 88","","Louisiana","","Neo-Nazi","","Yes","2009"
"Aryan Nations 88","","Washington","","Neo-Nazi","","Yes","2009"
"Aryan Nations Revival","Brooks","Georgia","","Christian Identity ","","","2009"
"Aryan Nations Revival","Simms","Texas","","Christian Identity ","","","2009"
"Aryan Nations Revival","","California","","Christian Identity ","","Yes","2009"
"Aryan Nations Revival","","New Jersey","","Christian Identity ","","Yes","2009"
"Aryan Nations Revival","","Washington","","Christian Identity ","","Yes","2009"
"Aryan Nations Revival","","Colorado","","Christian Identity ","","Yes","2009"
"Aryan Nations Revival","","Oregon","","Christian Identity ","","Yes","2009"
"Aryan Nations Revival","","Louisiana","","Christian Identity ","","Yes","2009"
"Aryan Nations Revival","","Ohio","","Christian Identity ","","Yes","2009"
"Aryan Nations Revival","","New York","","Christian Identity ","","Yes","2009"
"Aryan Nations Revival","","Tennessee","","Christian Identity ","","Yes","2009"
"Aryan Nations Revival","","Arkansas","","Christian Identity ","","Yes","2009"
"Aryan Terror Brigade","Flemington","New Jersey","","Racist Skinhead ","","","2009"
"Aryan Terror Brigade","","Massachusetts","","Racist Skinhead ","","Yes","2009"
"Aryan Terror Brigade","","New Jersey","","Racist Skinhead ","","Yes","2009"
"Aryan Terror Brigade","","Texas","","Racist Skinhead ","","Yes","2009"
"Aryan Terror Brigade","","Pennsylvania","","Racist Skinhead ","","Yes","2009"
"Aryan Terror Brigade","","Idaho","","Racist Skinhead ","","Yes","2009"
