"Title","City","State","Group","Ideology","Headquarters","Statewide","Year"
"Barnes Review/Foundation for Economic Liberty, Inc.","Washington","District of Columbia","","Holocaust Denial","","","2008"
"Catholic Family News/Catholic Family Ministries, Inc.","Niagara Falls","New York","","Radical Traditional Catholicism ","","","2008"
"The International Conspiratological Association","Coeur d'Alene","Idaho","","Holocaust Denial","","","2008"
"Abiding Truth Ministries","Temecula","California","","Anti-LGBTQ","","","2008"
"AC Skins","Absecon","New Jersey","","Racist Skinhead ","","","2008"
"AC Skins","Atlantic City","New Jersey","","Racist Skinhead ","","","2008"
"AC Skins","Little Egg Harbor","New Jersey","","Racist Skinhead ","","","2008"
"AC Skins","Manchester Township","New Jersey","","Racist Skinhead ","","","2008"
"AC Skins","Somers Point","New Jersey","","Racist Skinhead ","","","2008"
"AC Skins","Wildwood","New Jersey","","Racist Skinhead ","","","2008"
"Alabama Christian Klan","Birmingham","Alabama","","Ku Klux Klan ","","","2008"
"Alliance for Catholic Tradition","Pleasant Unity","Pennsylvania","","Radical Traditional Catholicism ","","","2008"
"America's Promise Ministries","Sandpoint","Idaho","America's Promise Ministries","Christian Identity ","","","2008"
"American Border Patrol","Sierra Vista","Arizona","American Border Patrol/American Patrol","Anti-Immigrant","","","2008"
"American Free Press","Washington","District of Columbia","","General Hate ","","","2008"
"American Front","Sacramento","California","","Racist Skinhead ","","","2008"
"American Front","St. Cloud","Florida","","Racist Skinhead ","","","2008"
"American Immigration Control Foundation/Americans for Immigration Control","Monterey","Virginia","","Anti-Immigrant","","","2008"
"American National Socialist Workers Party","Baxter","Kentucky","","Neo-Nazi","","","2008"
"American National Socialist Workers Party","Birmingham","Alabama","","Neo-Nazi","","","2008"
"American National Socialist Workers Party","Charleston","West Virginia","","Neo-Nazi","","","2008"
"American National Socialist Workers Party","Chicago","Illinois","","Neo-Nazi","","","2008"
"American National Socialist Workers Party","Clackamas","Oregon","","Neo-Nazi","","","2008"
"American National Socialist Workers Party","Henderson","North Carolina","","Neo-Nazi","","","2008"
"American National Socialist Workers Party","Ingram","Texas","","Neo-Nazi","","","2008"
"American National Socialist Workers Party","Jackson","Michigan","","Neo-Nazi","","","2008"
"American National Socialist Workers Party","Jackson","New Jersey","","Neo-Nazi","","","2008"
"American National Socialist Workers Party","Jeffersonville","Indiana","","Neo-Nazi","","","2008"
"American National Socialist Workers Party","Kansas City","Kansas","","Neo-Nazi","","","2008"
"American National Socialist Workers Party","Lockwood","Missouri","","Neo-Nazi","","","2008"
"American National Socialist Workers Party","Louisville","Kentucky","","Neo-Nazi","","","2008"
"American National Socialist Workers Party","Missoula","Montana","","Neo-Nazi","","","2008"
"American National Socialist Workers Party","Muncie","Indiana","","Neo-Nazi","","","2008"
"American National Socialist Workers Party","Newark","New Jersey","","Neo-Nazi","","","2008"
"American National Socialist Workers Party","Norfolk","Virginia","","Neo-Nazi","","","2008"
"American National Socialist Workers Party","Peoria","Illinois","","Neo-Nazi","","","2008"
"American National Socialist Workers Party","Phoenix","Arizona","","Neo-Nazi","","","2008"
"American National Socialist Workers Party","Roanoke","Virginia","","Neo-Nazi","","","2008"
"American National Socialist Workers Party","Salt Lake City","Utah","","Neo-Nazi","","","2008"
"American National Socialist Workers Party","Sarasota","Florida","","Neo-Nazi","","","2008"
"American National Socialist Workers Party","Seattle","Washington","","Neo-Nazi","","","2008"
"American National Socialist Workers Party","Shawnee Mission","Kansas","","Neo-Nazi","","","2008"
"American National Socialist Workers Party","Stoughton","Massachusetts","","Neo-Nazi","","","2008"
"American National Socialist Workers Party","Tulsa","Oklahoma","","Neo-Nazi","","","2008"
"American National Socialist Workers Party","Villa Rica","Georgia","","Neo-Nazi","","","2008"
"American National Socialist Workers Party","Westminster","South Carolina","","Neo-Nazi","","","2008"
"American National Socialist Workers Party","Wilmington","Ohio","","Neo-Nazi","","","2008"
"American National Socialist Workers Party","Wilmington","Delaware","","Neo-Nazi","","","2008"
"American National Socialist Workers Party","York","Pennsylvania","","Neo-Nazi","","","2008"
"American National Socialist Workers Party","","New Hampshire","","Neo-Nazi","","Yes","2008"
"American National Socialist Workers Party","","Maine","","Neo-Nazi","","Yes","2008"
"American National Socialist Workers Party","","California","","Neo-Nazi","","Yes","2008"
"American National Socialist Workers Party","","Pennsylvania","","Neo-Nazi","","Yes","2008"
"American Nationalist Union","Las Vegas","Nevada","","White Nationalist ","","","2008"
"American Nazi Party","Westland","Michigan","","Neo-Nazi","","","2008"
