"Title","City","State","Group","Ideology","Headquarters","Statewide","Year"
"Militant Knights KKK","","Maine","","Ku Klux Klan ","","Yes","2015"
"Militant Knights KKK","","Minnesota","","Ku Klux Klan ","","Yes","2015"
"a2z Publications","Las Vegas","Nevada","","General Hate ","","","2015"
"Abiding Truth Ministries","Springfield","Massachusetts","","Anti-LGBTQ","","","2015"
"AC Skins","Atlantic City","New Jersey","","Racist Skinhead ","","","2015"
"ACT for America","Virginia Beach","Virginia","ACT for America ","Anti-Muslim","","","2015"
"Active Democracy","Washington","District of Columbia","","General Hate ","","","2015"
"Advanced White Society","Mount Airy","North Carolina","","White Nationalist ","","","2015"
"Advanced White Society","New York","New York","","White Nationalist ","","","2015"
"Advanced White Society","Pemberton Township","New Jersey","","White Nationalist ","","","2015"
"Advanced White Society","","Delaware","","White Nationalist ","","Yes","2015"
"Advanced White Society","","Alabama","","White Nationalist ","","Yes","2015"
"Advanced White Society","","Maryland","","White Nationalist ","","Yes","2015"
"Advanced White Society","","Ohio","","White Nationalist ","","Yes","2015"
"Advanced White Society","","Tennessee","","White Nationalist ","","Yes","2015"
"Aggressive Christianity","Berino","New Mexico","","General Hate ","","","2015"
"Aggressive Christianity","Fence Lake","New Mexico","","General Hate ","","","2015"
"All Eyes on Egipt Bookstore","Cleveland","Ohio","","","","","2015"
"All Eyes on Egipt Bookstore","Detroit","Michigan","","","","","2015"
"All Eyes on Egipt Bookstore","Monticello","Georgia","","","","","2015"
"All Eyes on Egipt Bookstore","Orlando","Florida","","","","","2015"
"All Eyes on Egipt Bookstore","Scottdale","Georgia","","","","","2015"
"All Eyes on Egipt Bookstore","Boston","Massachusetts","","","","","2015"
"All Eyes On Egipt Bookstore","Chicago","Illinois","","","","","2015"
"All Eyes On Egipt Bookstore","Brooklyn","New York","","","","","2015"
"All Eyes On Egypt Bookstore","Macon","Georgia","","","","","2015"
"All Eyes on Egypt Bookstore","Milledgeville","Georgia","","","","","2015"
"Alliance for Catholic Tradition","Pleasant Unity","Pennsylvania","","Radical Traditional Catholicism ","","","2015"
"Alternative Right","Atlanta","Georgia","","White Nationalist ","","","2015"
"America's Promise Ministries","Sandpoint","Idaho","America's Promise Ministries","Christian Identity ","","","2015"
"American Border Patrol","Sierra Vista","Arizona","American Border Patrol/American Patrol","Anti-Immigrant","","","2015"
"American College of Pediatricians","Gainesville","Florida","American College of Pediatricians","Anti-LGBTQ","","","2015"
"The American Defence League","New York","New York","","Anti-Muslim","","","2015"
"American Eagle Party","Gatlinburg","Tennessee","","White Nationalist ","","","2015"
"American Family Association","Franklin","Pennsylvania","American Family Association","Anti-LGBTQ","","","2015"
"American Family Association","Tupelo","Mississippi","American Family Association","Anti-LGBTQ","","","2015"
"American Free Press","Washington","District of Columbia","","General Hate ","","","2015"
"American Freedom Defense Initiative","New York","New York","","Anti-Muslim","","","2015"
"American Freedom Law Center","Ann Arbor","Michigan","","Anti-Muslim","","","2015"
"American Freedom Party","Baldwyn","Mississippi","American Freedom Party","White Nationalist ","","","2015"
"American Freedom Party","Bradenton","Florida","American Freedom Party","White Nationalist ","","","2015"
"American Freedom Party","Granbury","Texas","American Freedom Party","White Nationalist ","","","2015"
"American Freedom Party","Grand Forks","North Dakota","American Freedom Party","White Nationalist ","","","2015"
"American Freedom Party","Lakewood Ranch","Florida","American Freedom Party","White Nationalist ","","","2015"
"American Freedom Party","Los Angeles","California","American Freedom Party","White Nationalist ","","","2015"
"American Freedom Party","New York","New York","American Freedom Party","White Nationalist ","","","2015"
"American Freedom Party","","Indiana","American Freedom Party","White Nationalist ","","Yes","2015"
"American Freedom Party","","Montana","American Freedom Party","White Nationalist ","","Yes","2015"
"American Freedom Party","","Oregon","American Freedom Party","White Nationalist ","","Yes","2015"
"American Freedom Party","","Wisconsin","American Freedom Party","White Nationalist ","","Yes","2015"
"American Front","Hackensack","New Jersey","","Racist Skinhead ","","","2015"
"American Front","Haledon","New Jersey","","Racist Skinhead ","","","2015"
"American Front","Roselle","New Jersey","","Racist Skinhead ","","","2015"
"American Front","Sacramento","California","","Racist Skinhead ","","","2015"
"American Front","","Iowa","","Racist Skinhead ","","Yes","2015"
"American Immigration Control Foundation/Americans for Immigration Control","Monterey","Virginia","","Anti-Immigrant","","","2015"
"American Nationalist Association","Porterville","California","","White Nationalist ","","","2015"
"American Nationalist Union","Las Vegas","Nevada","","White Nationalist ","","","2015"
"American Nazi Party","Rialto","California","","Neo-Nazi","","","2015"
"American Nazi Party","Westland","Michigan","","Neo-Nazi","","","2015"
"American Nazi Party","","Virginia","","Neo-Nazi","","Yes","2015"
"American Nazi Party","","West Virginia","","Neo-Nazi","","Yes","2015"
"American Nazi Party","","Texas","","Neo-Nazi","","Yes","2015"
"American Renaissance/New Century Foundation","Oakton","Virginia","American Renaissance","White Nationalist ","","","2015"
"American Vikings","Knightstown","Indiana","","Racist Skinhead ","","","2015"
"American Vision","Powder Springs","Georgia","","Anti-LGBTQ","","","2015"
"Americans for Legal Immigration (ALIPAC)","Raleigh","North Carolina","","Anti-Immigrant","","","2015"
"Americans for Truth About Homosexuality","Naperville","Illinois","","Anti-LGBTQ","","","2015"
"Americans Have Had Enough","Mauldin","South Carolina","","Anti-Immigrant","","","2015"
"Artisan Publishers","Muskogee","Oklahoma","","General Hate ","","","2015"
"Aryan Nations","Converse","Louisiana","","Neo-Nazi","","","2015"
"Aryan Nations Knights of the KKK","Converse","Louisiana","","Ku Klux Klan ","","","2015"
"Aryan Nations Worldwide","Villa Rica","Georgia","Aryan Nations","Neo-Nazi","","","2015"
"Aryan Strikeforce","Pine Bluff","Arkansas","","Racist Skinhead ","","","2015"
"Aryan Strikeforce","Somerville","New Jersey","","Racist Skinhead ","","","2015"
"Aryan Strikeforce","","Arizona","","Racist Skinhead ","","Yes","2015"
"Aryan Strikeforce","","New York","","Racist Skinhead ","","Yes","2015"
"Aryan Strikeforce","","Colorado","","Racist Skinhead ","","Yes","2015"
"Aryan Strikeforce","","Kentucky","","Racist Skinhead ","","Yes","2015"
"Aryan Strikeforce","","Massachusetts","","Racist Skinhead ","","Yes","2015"
"Aryan Strikeforce","","Missouri","","Racist Skinhead ","","Yes","2015"
"Aryan Strikeforce","","Virginia","","Racist Skinhead ","","Yes","2015"
"Aryan Strikeforce","","Indiana","","Racist Skinhead ","","Yes","2015"
"Aryan Strikeforce","","Florida","","Racist Skinhead ","","Yes","2015"
"Aryan Strikeforce","","Ohio","","Racist Skinhead ","","Yes","2015"
"Aryan Strikeforce","","Pennsylvania","","Racist Skinhead ","","Yes","2015"
"Aryan Terror Brigade","Haddon Township","New Jersey","","Racist Skinhead ","","","2015"
"Aryan Terror Brigade","","West Virginia","","Racist Skinhead ","","Yes","2015"
"Aryan Terror Brigade","","Florida","","Racist Skinhead ","","Yes","2015"
"As-Sabiqun","Los Angeles","California","","General Hate ","","","2015"
"As-Sabiqun","Oakland","California","","General Hate ","","","2015"
"As-Sabiqun","Philadelphia","Pennsylvania","","General Hate ","","","2015"
"As-Sabiqun","Sacramento","California","","General Hate ","","","2015"
