"Title","City","State","Group","Ideology","Headquarters","Statewide","Year"
"14 Words Press","Napa","California","","White Nationalist ","","","2002"
"88 Enterprises","Canton","Ohio","","General Hate ","","","2002"
"Alabama White Knights of the KKK","Anniston","Alabama","","Ku Klux Klan ","","","2002"
"Alabama White Knights of the KKK","Birmingham","Alabama","","Ku Klux Klan ","","","2002"
"Alabama White Knights of the KKK","Clanton","Alabama","","Ku Klux Klan ","","","2002"
"Alabama White Knights of the KKK","Sylacauga","Alabama","","Ku Klux Klan ","","","2002"
"Alabama White Knights of the KKK","Wilton","Alabama","","Ku Klux Klan ","","","2002"
"America's Invisible Empire Knights of the KKK","Danville","Alabama","","Christian Identity ","","","2002"
"America's Invisible Empire Knights of the KKK","Erwin","Tennessee","","Christian Identity ","","","2002"
"America's Invisible Empire Knights of the KKK","Hartselle","Alabama","","Christian Identity ","","","2002"
"America's Invisible Empire Knights of the KKK","Longville","Louisiana","","Christian Identity ","","","2002"
"America's Promise Ministries","Sandpoint","Idaho","","Christian Identity ","","","2002"
"American Immigration Control Foundation / Americans for Immigration Control","Monterey","Virginia","","Anti-Immigrant","","","2002"
"American Knights of the Ku Klux Klan","Amherst","New York","","Ku Klux Klan ","","","2002"
"American Knights of the Ku Klux Klan","Butler","Indiana","","Ku Klux Klan ","","","2002"
"American Knights of the Ku Klux Klan","Cedarville","Arkansas","","Ku Klux Klan ","","","2002"
"American Knights of the Ku Klux Klan","Cokeburg","Pennsylvania","","Ku Klux Klan ","","","2002"
"American Knights of the Ku Klux Klan","Collinsville","Oklahoma","","Ku Klux Klan ","","","2002"
"American Knights of the Ku Klux Klan","Goshen","Indiana","","Ku Klux Klan ","","","2002"
"American Knights of the Ku Klux Klan","Hillsboro","Tennessee","","Ku Klux Klan ","","","2002"
"American Knights of the Ku Klux Klan","Mauriceville","Texas","","Ku Klux Klan ","","","2002"
"American Knights of the Ku Klux Klan","Port Lavaca","Texas","","Ku Klux Klan ","","","2002"
"American Knights of the Ku Klux Klan","Riesel","Texas","","Ku Klux Klan ","","","2002"
"American Knights of the Ku Klux Klan","San Antonio","Texas","","Ku Klux Klan ","","","2002"
"American Knights of the Ku Klux Klan","Victoria","Texas","","Ku Klux Klan ","","","2002"
"American Knights of the Ku Klux Klan","Watts","Oklahoma","","Ku Klux Klan ","","","2002"
"American Knights of the Ku Klux Klan","Welsh","Louisiana","","Ku Klux Klan ","","","2002"
"American Nazi Party","Eastpointe","Michigan","","Neo-Nazi","","","2002"
"American Third Position","Clifton","New Jersey","","White Nationalist ","","","2002"
"American White Knights of the KKK","Cordele","Georgia","","Ku Klux Klan ","","","2002"
"American White Knights of the KKK","Lucedale","Mississippi","","Ku Klux Klan ","","","2002"
"American White Knights of the KKK","Munford","Alabama","","Ku Klux Klan ","","","2002"
"American White Knights of the KKK","Shelby","Alabama","","Ku Klux Klan ","","","2002"
"American White Knights of the KKK","Somerset","Texas","","Ku Klux Klan ","","","2002"
"Americans for Self Determination","Falls Church","Virginia","","White Nationalist ","","","2002"
"Artisan Publishers","Muskogee","Oklahoma","","General Hate ","","","2002"
"Aryan Covenant Church/ACC Services","Anderson","Texas","","Christian Identity ","","","2002"
"Aryan Nations","Cumberland","Maryland","","Neo-Nazi","","","2002"
"Aryan Nations","Hampton Beach","New Hampshire","","Neo-Nazi","","","2002"
"Aryan Nations","Hayden Lake","Idaho","","Neo-Nazi","","","2002"
"Aryan Nations","Hurst","Texas","","Neo-Nazi","","","2002"
"Aryan Nations","Lavale","Maryland","","Neo-Nazi","","","2002"
"Aryan Nations","Magnolia","Arkansas","","Neo-Nazi","","","2002"
"Aryan Nations","Mercer","Wisconsin","","Neo-Nazi","","","2002"
"Aryan Nations","Rapid City","South Dakota","","Neo-Nazi","","","2002"
"Aryan Nations","Reno","Nevada","","Neo-Nazi","","","2002"
"Aryan Nations","Sunland","California","","Neo-Nazi","","","2002"
"Aryan Nations","West Wego","Louisiana","","Neo-Nazi","","","2002"
"Aryan Nations","Brookland","Arkansas","","Neo-Nazi","","","2002"
"Aryan Nations","Bryans Road","Maryland","","Neo-Nazi","","","2002"
"Aryan Nations","Huffman","Texas","","Neo-Nazi","","","2002"
"Aryan Nations","Leola","Pennsylvania","","Neo-Nazi","","","2002"
"Aryan Nations","Long Beach","California","","Neo-Nazi","","","2002"
"Aryan Nations","North Bergen","New Jersey","","Neo-Nazi","","","2002"
"Aryan Nations","Oviedo","Florida","","Neo-Nazi","","","2002"
"Aryan Nations","Prospect","Kentucky","","Neo-Nazi","","","2002"
"Aryan Nations","Suffolk","Virginia","","Neo-Nazi","","","2002"
"Aryan Nations","Ulysses","Pennsylvania","","Neo-Nazi","","","2002"
"Aryan Nations","Wantagh","New York","","Neo-Nazi","","","2002"
"Aryan Nations","Woodlawn","Tennessee","","Neo-Nazi","","","2002"
"Aryan Renaissance Society","Fort Worth","Texas","","Neo-Nazi","","","2002"
"Aryan Renaissance Society","Livingston","New Jersey","","Neo-Nazi","","","2002"
"Aryan Werwulfe Brotherhood","Palm Beach","Florida","","Neo-Nazi","","","2002"
"Bayou Knights of the KKK","Fulton","Mississippi","","Ku Klux Klan ","","","2002"
"Bayou Knights of the KKK","Homer","Louisiana","","Ku Klux Klan ","","","2002"
