"Title","City","State","Group","Ideology","Headquarters","Statewide","Year"
"Abiding Truth Ministries","Temecuala","California","","Anti-LGBTQ","","","2007"
"AC Skins","Atlantic City","New Jersey","","Racist Skinhead ","","","2007"
"AC Skins","Little Egg Harbor City","New Jersey","","Racist Skinhead ","","","2007"
"AC Skins","Manchester Township","New Jersey","","Racist Skinhead ","","","2007"
"AC Skins","Somers Point","New Jersey","","Racist Skinhead ","","","2007"
"Alliance for Catholic Tradition","Pleasant Unity","Pennsylvania","","Radical Traditional Catholicism ","","","2007"
"America's Promise Ministries","Sandpoint","Idaho","America's Promise Ministries","Christian Identity ","","","2007"
"American Border Patrol","Sierra Vista","Arizona","American Border Patrol/American Patrol","Anti-Immigrant","","","2007"
"American Free Press","Washington","District of Columbia","","General Hate ","","","2007"
"American Front","Sacramento","California","","Racist Skinhead ","","","2007"
"American Immigration Control Foundation / Americans for Immigration Control","Monterey","Virginia","","Anti-Immigrant","","","2007"
"American National Socialist Workers Party","Auburn","Alabama","","Neo-Nazi","","","2007"
"American National Socialist Workers Party","Baxter","Kentucky","","Neo-Nazi","","","2007"
"American National Socialist Workers Party","Brooks","Kentucky","","Neo-Nazi","","","2007"
"American National Socialist Workers Party","Fisher","West Virginia","","Neo-Nazi","","","2007"
"American National Socialist Workers Party","Ingram","Texas","","Neo-Nazi","","","2007"
"American National Socialist Workers Party","Jackson","Michigan","","Neo-Nazi","","","2007"
"American National Socialist Workers Party","Jamestown","Ohio","","Neo-Nazi","","","2007"
"American National Socialist Workers Party","Kansas City","Kansas","","Neo-Nazi","","","2007"
"American National Socialist Workers Party","Lockwook","Missouri","","Neo-Nazi","","","2007"
"American National Socialist Workers Party","Missoula","Montana","","Neo-Nazi","","","2007"
"American National Socialist Workers Party","Muncie","Indiana","","Neo-Nazi","","","2007"
"American National Socialist Workers Party","Peoria","Illinois","","Neo-Nazi","","","2007"
"American National Socialist Workers Party","Phoenix","Arizona","","Neo-Nazi","","","2007"
"American National Socialist Workers Party","Portage","Indiana","","Neo-Nazi","","","2007"
"American National Socialist Workers Party","Roanoke","Virginia","","Neo-Nazi","","","2007"
"American National Socialist Workers Party","Salt Lake City","Utah","","Neo-Nazi","","","2007"
"American National Socialist Workers Party","Sarasota","Florida","","Neo-Nazi","","","2007"
"American National Socialist Workers Party","Stoughton","Massachusetts","","Neo-Nazi","","","2007"
